Model,Accuracy (%),F1 Score,ROC-AUC,Parameters (M),Model Size (MB),Inference Time (ms/img)
ResNet,98.80996653030867,0.988092903792012,0.9999372953451062,23.555159,90.1534252166748,5.3453543408735396
MobileNet,88.58311640014875,0.8813725765059568,0.9966709575443339,2.253335,9.059545516967773,4.662957985900334
SqueezeNet,95.64894012644105,0.9564677521221395,0.9990828693738847,0.734295,8.467813491821289,5.270364515929472
CustomCNN,96.05801413164745,0.959611952712179,0.9995925107975357,0.395287,1.521240234375,6.13823961972215
Ensemble,98.80996653030867,0.9880792191424536,0.9999153650514533,-,-,6.111035829319214
